cricinfo,personLabel,dob,countryLabel
12902,Gavin Franklin,1978-01-09T00:00:00Z,United Kingdom
12611,Geoffrey Edge,1911-08-17T00:00:00Z,United Kingdom
12611,Geoffrey Edge,1911-08-17T00:00:00Z,United Kingdom of Great Britain and Ireland
13777,George Griffith,1833-12-20T00:00:00Z,United Kingdom of Great Britain and Ireland
10053,Graham Brown,1966-10-11T00:00:00Z,United Kingdom
14458,Harold Hall,1875-11-08T00:00:00Z,United Kingdom of Great Britain and Ireland
11820,Henry Davies,1865-02-02T00:00:00Z,United Kingdom of Great Britain and Ireland
15015,Jack Hubble,1881-02-10T00:00:00Z,United Kingdom
15015,Jack Hubble,1881-02-10T00:00:00Z,United Kingdom of Great Britain and Ireland
12537,James Evans,1891-11-09T00:00:00Z,United Kingdom
12537,James Evans,1891-11-09T00:00:00Z,United Kingdom of Great Britain and Ireland
14417,James Hodgson,1972-03-28T00:00:00Z,United Kingdom
17412,James Mason,1876-10-29T00:00:00Z,United Kingdom
17412,James Mason,1876-10-29T00:00:00Z,United Kingdom of Great Britain and Ireland
10672,John Carr,1963-06-15T00:00:00Z,United Kingdom
10882,John Crookes,1890-03-07T00:00:00Z,United Kingdom
10882,John Crookes,1890-03-07T00:00:00Z,United Kingdom of Great Britain and Ireland
13100,John Flowers,1882-10-05T00:00:00Z,United Kingdom
13100,John Flowers,1882-10-05T00:00:00Z,United Kingdom of Great Britain and Ireland
18378,John Oscroft,1807-07-21T00:00:00Z,United Kingdom of Great Britain and Ireland
18558,Lee Pollard,1979-05-26T00:00:00Z,United Kingdom
11828,Mark Davies,1962-09-24T00:00:00Z,United Kingdom
16212,Mark Lathwell,1971-12-26T00:00:00Z,United Kingdom
10220,Martin Butcher,1958-05-17T00:00:00Z,United Kingdom
17786,Michael Milton,1943-11-28T00:00:00Z,United Kingdom
18696,Michael Peck,1967-01-23T00:00:00Z,United Kingdom
13341,Nick Gaywood,1963-04-30T00:00:00Z,United Kingdom
19547,Paul Roshier,1963-10-10T00:00:00Z,United Kingdom
14648,Peter Hayes,1954-05-20T00:00:00Z,United Kingdom
15653,Peter Jaques,1919-11-20T00:00:00Z,United Kingdom
16057,Peter Kippax,1940-10-15T00:00:00Z,United Kingdom
12941,Richard Falkner,1982-08-13T00:00:00Z,United Kingdom
15158,Richard Hindley,1975-04-25T00:00:00Z,United Kingdom
12564,Russell Edmonds,1977-09-09T00:00:00Z,United Kingdom
17195,Russell Morris,1967-06-08T00:00:00Z,United Kingdom
11796,Simon Daniels,1958-08-23T00:00:00Z,United Kingdom
17080,"Sir Henry Mordaunt, 12th Baronet",1867-07-12T00:00:00Z,United Kingdom
17080,"Sir Henry Mordaunt, 12th Baronet",1867-07-12T00:00:00Z,United Kingdom of Great Britain and Ireland
11836,Thomas Dann,1981-01-30T00:00:00Z,United Kingdom
20092,Tim Scriven,1965-12-15T00:00:00Z,United Kingdom
11004,Tom Caplen,1879-11-23T00:00:00Z,United Kingdom
11004,Tom Caplen,1879-11-23T00:00:00Z,United Kingdom of Great Britain and Ireland
10828,Tony Cottey,1966-06-02T00:00:00Z,United Kingdom
16462,Trevor Larkham,1929-11-10T00:00:00Z,United Kingdom
19206,Uriah Pillion,,United Kingdom
19701,Victor Riddell,1905-07-23T00:00:00Z,United Kingdom
19701,Victor Riddell,1905-07-23T00:00:00Z,United Kingdom of Great Britain and Ireland
11890,William Dible,1861-11-05T00:00:00Z,United Kingdom of Great Britain and Ireland
16580,William Lillywhite,1792-06-13T00:00:00Z,Kingdom of Great Britain
16580,William Lillywhite,1792-06-13T00:00:00Z,United Kingdom of Great Britain and Ireland
17308,William Mann,1878-07-28T00:00:00Z,United Kingdom
17308,William Mann,1878-07-28T00:00:00Z,United Kingdom of Great Britain and Ireland
17110,Zac Morris,1978-09-04T00:00:00Z,United Kingdom
11330,Martin Corke,1923-06-08T00:00:00Z,United Kingdom
11330,Martin Corke,1923-06-08T00:00:00Z,United Kingdom of Great Britain and Ireland
16072,Sidney Kitcat,1868-07-20T00:00:00Z,United Kingdom
16072,Sidney Kitcat,1868-07-20T00:00:00Z,United Kingdom of Great Britain and Ireland
17310,Herbert Manners,1877-08-16T00:00:00Z,United Kingdom
17310,Herbert Manners,1877-08-16T00:00:00Z,United Kingdom of Great Britain and Ireland
19344,Arnold Read,1880-01-24T00:00:00Z,United Kingdom
19344,Arnold Read,1880-01-24T00:00:00Z,United Kingdom of Great Britain and Ireland
13438,David Gray,1922-06-19T00:00:00Z,United Kingdom
13438,David Gray,1922-06-19T00:00:00Z,United Kingdom of Great Britain and Ireland
11457,Henry Crouch,1914-02-10T00:00:00Z,United Kingdom
11457,Henry Crouch,1914-02-10T00:00:00Z,United Kingdom of Great Britain and Ireland
17035,Joseph Milner,1937-08-22T00:00:00Z,South Africa
19940,Jonathan Rashleigh,1820-01-07T00:00:00Z,United Kingdom of Great Britain and Ireland
18853,Joseph Pearson,1860-03-26T00:00:00Z,United Kingdom of Great Britain and Ireland
17214,Main,,United Kingdom
11028,Bertram Carris,1917-10-23T00:00:00Z,United Kingdom
11028,Bertram Carris,1917-10-23T00:00:00Z,United Kingdom of Great Britain and Ireland
16457,Henry Langley,1846-12-08T00:00:00Z,United Kingdom of Great Britain and Ireland
17316,Joseph Manton,1871-12-04T00:00:00Z,United Kingdom
17316,Joseph Manton,1871-12-04T00:00:00Z,United Kingdom of Great Britain and Ireland
10960,Frank Fairbairn Crawford,1850-06-17T00:00:00Z,United Kingdom of Great Britain and Ireland
17456,Dicky Mayes,1922-10-07T00:00:00Z,United Kingdom
13664,Billy Goodhew,1828-05-24T00:00:00Z,United Kingdom of Great Britain and Ireland
1079860,Tajinder Singh,1992-05-25T00:00:00Z,India
20600,Clifford Saville,1892-02-05T00:00:00Z,United Kingdom
15631,McIvor Jackson,1880-05-24T00:00:00Z,United Kingdom
15631,McIvor Jackson,1880-05-24T00:00:00Z,United Kingdom of Great Britain and Ireland
18007,Billy Newham,1860-12-12T00:00:00Z,United Kingdom
18007,Billy Newham,1860-12-12T00:00:00Z,United Kingdom of Great Britain and Ireland
15381,Jack Ikin,1918-03-07T00:00:00Z,United Kingdom
15381,Jack Ikin,1918-03-07T00:00:00Z,United Kingdom of Great Britain and Ireland
16989,Joseph McMaster,1861-03-16T00:00:00Z,United Kingdom
16989,Joseph McMaster,1861-03-16T00:00:00Z,United Kingdom of Great Britain and Ireland
13446,Tommy Greenhough,1931-11-09T00:00:00Z,United Kingdom
12874,Francis Foster,1848-11-06T00:00:00Z,United Kingdom
12874,Francis Foster,1848-11-06T00:00:00Z,United Kingdom of Great Britain and Ireland
17139,Alan Mynett,1966-08-05T00:00:00Z,United Kingdom
18814,Alan Payne,1903-01-28T00:00:00Z,United Kingdom
18814,Alan Payne,1903-01-28T00:00:00Z,United Kingdom of Great Britain and Ireland
14748,Bob Herkes,1957-06-30T00:00:00Z,United Kingdom
13645,Brian Glynn,1940-04-27T00:00:00Z,United Kingdom
13486,Charles Gunner,1853-01-07T00:00:00Z,United Kingdom
13486,Charles Gunner,1853-01-07T00:00:00Z,United Kingdom of Great Britain and Ireland
15824,Craig Jennings,1984-11-13T00:00:00Z,United Kingdom
18370,Cyril Onslow,1815-12-17T00:00:00Z,United Kingdom of Great Britain and Ireland
18720,Dallas Page,1911-04-11T00:00:00Z,United Kingdom
18720,Dallas Page,1911-04-11T00:00:00Z,United Kingdom of Great Britain and Ireland
23757,David Gibbs,1967-03-15T00:00:00Z,Bermuda
21617,David Turner,1949-02-05T00:00:00Z,United Kingdom
23141,David Wood,1965-01-10T00:00:00Z,United Kingdom
21126,Desmond Surfleet,1912-02-05T00:00:00Z,
23692,Dexter Smith,1961-05-22T00:00:00Z,Bermuda
13200,Douglas Freeman,1916-07-21T00:00:00Z,United Kingdom
13200,Douglas Freeman,1916-07-21T00:00:00Z,United Kingdom of Great Britain and Ireland
20851,Edwin Smith,1848-08-29T00:00:00Z,United Kingdom of Great Britain and Ireland
21497,Ernest Tedder,1915-09-05T00:00:00Z,United Kingdom
21497,Ernest Tedder,1915-09-05T00:00:00Z,United Kingdom of Great Britain and Ireland
24857,Flavian Aponso,1952-10-28T00:00:00Z,Kingdom of the Netherlands
14738,Frank Henry,,United Kingdom
20557,Frank Shacklock,1861-09-22T00:00:00Z,New Zealand
15902,Frederick Kitchener,1871-07-05T00:00:00Z,United Kingdom
15902,Frederick Kitchener,1871-07-05T00:00:00Z,United Kingdom of Great Britain and Ireland
22804,Frederick Weaver,1878-03-10T00:00:00Z,United Kingdom
22804,Frederick Weaver,1878-03-10T00:00:00Z,United Kingdom of Great Britain and Ireland
20570,George Salter,1834-08-18T00:00:00Z,United Kingdom of Great Britain and Ireland
20512,Harry Simms,1888-01-31T00:00:00Z,United Kingdom
20512,Harry Simms,1888-01-31T00:00:00Z,United Kingdom of Great Britain and Ireland
16943,Henry Maturin,1842-04-05T00:00:00Z,
17127,Henry Murgatroyd,1853-09-19T00:00:00Z,United Kingdom of Great Britain and Ireland
16099,Herbert Knutton,1867-06-14T00:00:00Z,United Kingdom
16099,Herbert Knutton,1867-06-14T00:00:00Z,United Kingdom of Great Britain and Ireland
19461,Herbert Rogers,1893-03-06T00:00:00Z,United Kingdom of Great Britain and Ireland
13066,John Fisher,1897-08-04T00:00:00Z,United Kingdom
13066,John Fisher,1897-08-04T00:00:00Z,United Kingdom of Great Britain and Ireland
14619,Jim Hastie,1920-06-20T00:00:00Z,
16961,Jim McConnon,1922-06-21T00:00:00Z,United Kingdom
16961,Jim McConnon,1922-06-21T00:00:00Z,United Kingdom of Great Britain and Ireland
14512,John Harber,1889-11-12T00:00:00Z,United Kingdom
14512,John Harber,1889-11-12T00:00:00Z,United Kingdom of Great Britain and Ireland
14238,John Holder,1945-03-19T00:00:00Z,United Kingdom
20365,Keith Stevenson,1950-10-06T00:00:00Z,United Kingdom
16124,Kelsey,,United Kingdom
14521,Kenneth Harding,1892-02-12T00:00:00Z,United Kingdom
14521,Kenneth Harding,1892-02-12T00:00:00Z,United Kingdom of Great Britain and Ireland
13437,Paul Grayson,1971-03-31T00:00:00Z,United Kingdom
13781,Alan Griffiths,1957-09-18T00:00:00Z,United Kingdom
20120,Nadeem Shahid,1969-04-23T00:00:00Z,United Kingdom
20503,Oliver Smith,1967-10-29T00:00:00Z,United Kingdom
17774,Paul McKeown,1962-05-03T00:00:00Z,United Kingdom
12968,Rob Ferley,1982-02-04T00:00:00Z,United Kingdom
17093,Robert Mornement,1873-08-05T00:00:00Z,United Kingdom
17093,Robert Mornement,1873-08-05T00:00:00Z,United Kingdom of Great Britain and Ireland
18742,Robert Palmer,1960-06-04T00:00:00Z,United Kingdom
23043,Roy Wills,1944-12-05T00:00:00Z,United Kingdom
18695,Sean Polley,1981-04-27T00:00:00Z,United Kingdom
22593,Stuart Waterton,1960-12-06T00:00:00Z,United Kingdom
17332,Thomas Marlow,1878-12-15T00:00:00Z,United Kingdom
17332,Thomas Marlow,1878-12-15T00:00:00Z,United Kingdom of Great Britain and Ireland
20284,Thomas Soar,1865-09-03T00:00:00Z,United Kingdom
20284,Thomas Soar,1865-09-03T00:00:00Z,United Kingdom of Great Britain and Ireland
12918,Tich Freeman,1888-05-17T00:00:00Z,United Kingdom
12918,Tich Freeman,1888-05-17T00:00:00Z,United Kingdom of Great Britain and Ireland
12927,Tony Frost,1975-11-17T00:00:00Z,United Kingdom
18666,Tony Parton,1967-01-12T00:00:00Z,United Kingdom
15101,"Walter Humphreys, Sr.",1849-10-28T00:00:00Z,United Kingdom of Great Britain and Ireland
13348,William Gemmill,1900-06-14T00:00:00Z,
13769,William Grevett,1892-10-25T00:00:00Z,United Kingdom
13769,William Grevett,1892-10-25T00:00:00Z,United Kingdom of Great Britain and Ireland
14832,William Hillyer,1813-03-05T00:00:00Z,United Kingdom of Great Britain and Ireland
18226,William North,,United Kingdom of Great Britain and Ireland
22412,William White,1879-09-10T00:00:00Z,United Kingdom
22412,William White,1879-09-10T00:00:00Z,United Kingdom of Great Britain and Ireland
16359,Mark Lowrey,1971-09-13T00:00:00Z,United Kingdom
14080,James Harrold,1892-03-16T00:00:00Z,United Kingdom
14080,James Harrold,1892-03-16T00:00:00Z,United Kingdom of Great Britain and Ireland
19816,Arthur Roper,1890-01-12T00:00:00Z,United Kingdom
19816,Arthur Roper,1890-01-12T00:00:00Z,United Kingdom of Great Britain and Ireland
19776,John Robinson,1868-02-05T00:00:00Z,United Kingdom of Great Britain and Ireland
20866,James Crosbie Smith,1894-09-26T00:00:00Z,United Kingdom
20866,James Crosbie Smith,1894-09-26T00:00:00Z,United Kingdom of Great Britain and Ireland
21575,Claude Treglown,1893-02-13T00:00:00Z,United Kingdom
21575,Claude Treglown,1893-02-13T00:00:00Z,United Kingdom of Great Britain and Ireland
19775,John Robinson,1909-02-02T00:00:00Z,United Kingdom
19775,John Robinson,1909-02-02T00:00:00Z,United Kingdom of Great Britain and Ireland
19371,Graham Reynolds,1937-09-23T00:00:00Z,United Kingdom
23283,Stuart Wood,1939-11-27T00:00:00Z,United Kingdom
14870,John Hodgkins,1916-01-02T00:00:00Z,United Kingdom
52419,Malcolm Marshall,1958-04-18T00:00:00Z,Barbados
47693,Johan van der Wath,1978-01-10T00:00:00Z,South Africa
52810,Richie Richardson,1962-01-12T00:00:00Z,South Africa
47181,William Shalders,1880-02-12T00:00:00Z,South Africa
45980,Plum Lewis,1884-10-02T00:00:00Z,South Africa
45980,Plum Lewis,1884-10-02T00:00:00Z,United Kingdom of Great Britain and Ireland
48298,Niroshan Bandaratilleke,1975-05-16T00:00:00Z,Sri Lanka
47666,Lonwabo Tsotsobe,1984-03-07T00:00:00Z,South Africa
55217,Ema Kuribayashi,1983-10-06T00:00:00Z,Japan
54643,Alison Hodgkinson,1977-01-30T00:00:00Z,South Africa
4864,Daniel Christian,1983-05-04T00:00:00Z,Australia
5562,Darrell Hair,1952-09-30T00:00:00Z,Australia
52670,Derick Parry,1954-12-22T00:00:00Z,
53863,Doris Turner,1908-01-01T00:00:00Z,
53878,Elaine Wulcko,1959-01-01T00:00:00Z,Australia
5529,Gordon Gurr,1881-12-22T00:00:00Z,Australia
4673,Graeme Cunningham,1975-01-25T00:00:00Z,Australia
47900,Henry Williams,1967-06-11T00:00:00Z,South Africa
52416,Ivan Madray,1934-07-02T00:00:00Z,Russia
46270,Johann Myburgh,1980-10-22T00:00:00Z,South Africa
46270,Johann Myburgh,1980-10-22T00:00:00Z,New Zealand
45833,Johannes Kotze,1879-08-07T00:00:00Z,South Africa
54361,Jos Burley,1943-01-01T00:00:00Z,New Zealand
4245,Kenneth Burn,1862-09-17T00:00:00Z,Australia
54639,Leighshe Jacobs,1985-04-06T00:00:00Z,South Africa
45428,Peter Heine,1928-06-28T00:00:00Z,South Africa
4466,Robin Bailhache,1937-05-04T00:00:00Z,Australia
5905,Roger Hartigan,1879-12-12T00:00:00Z,Australia
53783,Rosalind Heggs,1952-01-01T00:00:00Z,United Kingdom
4936,Shane Deitz,1975-05-04T00:00:00Z,Australia
43590,Wahab Riaz,1985-06-28T00:00:00Z,Pakistan
5679,Tom Hogan,1956-09-23T00:00:00Z,Australia
4853,William Curran,,Australia
52855,Jackie Roberts,1912-01-01T00:00:00Z,
555850,Sam Hain,1995-07-16T00:00:00Z,United Kingdom
54313,Anna Smith,1978-05-12T00:00:00Z,New Zealand
53595,Lynette Cook,1959-05-04T00:00:00Z,Australia
5879,Augustus Hotham,,Australia
5576,Barry Harper,1938-10-30T00:00:00Z,Australia
5824,Edward Heather,1848-10-06T00:00:00Z,Australia
470875,Luke Le Tissier,1996-07-16T00:00:00Z,
50074,Jayantha Paranathala,1950-11-24T00:00:00Z,Sri Lanka
5869,James Horan,1880-06-08T00:00:00Z,Australia
5319,John Frederick,1910-10-18T00:00:00Z,Australia
54671,Mandy Kornet,1985-02-03T00:00:00Z,Kingdom of the Netherlands
4369,William Blundell,1866-12-30T00:00:00Z,Australia
4728,Edmund Carroll,1886-10-22T00:00:00Z,Australia
5384,Ashley Gilbert,1971-11-26T00:00:00Z,Australia
5646,Ian Hewett,1976-01-24T00:00:00Z,Australia
6210,David Knight,1956-08-21T00:00:00Z,Australia
52627,Zaheer Mohamed,1985-10-10T00:00:00Z,Guyana
5425,Douglas Green,1902-05-19T00:00:00Z,Australia
4399,Wilfred Brown,1930-03-21T00:00:00Z,Australia
4522,Francis Campbell,1867-04-20T00:00:00Z,Australia
4973,Alfred Douglas,1872-02-04T00:00:00Z,Australia
5640,Philip Henty,1883-02-04T00:00:00Z,Australia
4640,Ian Cowley,1937-03-20T00:00:00Z,Australia
52976,Trevor Samuels,1967-12-15T00:00:00Z,Jamaica
41717,Mohammad Bilal,1950-04-01T00:00:00Z,
55799,Derrick Townshend,1944-04-19T00:00:00Z,Zimbabwe
41929,Mohammad Khan,1986-06-03T00:00:00Z,
4574,Alfred Clarke,1868-04-06T00:00:00Z,Australia
4574,Alfred Clarke,1868-04-06T00:00:00Z,New Zealand
54915,Donna Armstrong,1949-02-15T00:00:00Z,
54665,Teuntje de Boer,1968-05-31T00:00:00Z,Kingdom of the Netherlands
54940,Marianne Herbert,1981-12-02T00:00:00Z,
52638,Vishal Nagamootoo,1977-01-07T00:00:00Z,Guyana
51201,Krishna Arjune,1980-09-03T00:00:00Z,Guyana
4575,Gother Clarke,1875-04-27T00:00:00Z,Australia
4931,Oscar Dean,1886-04-30T00:00:00Z,Australia
4959,Keith Docker,1888-09-01T00:00:00Z,Australia
5116,Frank Easton,1910-02-19T00:00:00Z,Australia
4604,Thomas Connell,1869-03-04T00:00:00Z,New Zealand
5401,Harry Goddard,1885-11-16T00:00:00Z,Australia
5708,Gordon Horsfield,1913-03-24T00:00:00Z,Australia
51024,Sarath Wimalaratne,1942-06-14T00:00:00Z,Sri Lanka
4367,Robert Blundell,1896-04-19T00:00:00Z,Australia
5165,Edmund Edwards,1910-01-06T00:00:00Z,Australia
4304,Kenneth Bagshaw,1920-10-23T00:00:00Z,Australia
4251,Jack Burton,1923-11-03T00:00:00Z,Australia
44980,Ismail Ebrahim,1946-11-05T00:00:00Z,
5817,Charles Hayward,1867-06-06T00:00:00Z,Australia
5763,Kim Harris,1952-01-24T00:00:00Z,Australia
5830,Donald Henry,1885-06-24T00:00:00Z,
4375,Gordon Bourne,1913-04-21T00:00:00Z,
4696,Colin Cooke,1947-01-21T00:00:00Z,
52480,Calbert Minott,1932-01-01T00:00:00Z,
51585,Theodore Clarke,1860-04-29T00:00:00Z,
52730,Richard Parris,1845-12-13T00:00:00Z,
51143,Merril Anthony,1909-11-16T00:00:00Z,
4394,Guy Brown,1884-07-31T00:00:00Z,Australia
52260,Norman Jordan,1888-09-07T00:00:00Z,
52571,Carlyle Miller,1930-01-19T00:00:00Z,
51328,Recaldo Bassue,1965-10-10T00:00:00Z,
45065,Winston Fortuin,1975-03-08T00:00:00Z,
45779,Hendrik Joubert,1949-05-15T00:00:00Z,
46399,Craig Marais,1965-11-10T00:00:00Z,
45522,Alfred Hicks,1916-08-10T00:00:00Z,
52698,George Pearce,1864-01-01T00:00:00Z,
44332,Mark Billson,1961-03-01T00:00:00Z,
7980,Victor Trumper,1877-11-02T00:00:00Z,Australia
8608,James Anderson,1982-07-30T00:00:00Z,United Kingdom
11141,Manning Clark,1915-03-03T00:00:00Z,Australia
12450,Steven Davies,1986-06-17T00:00:00Z,United Kingdom
9098,Dickie Bird,1933-04-19T00:00:00Z,United Kingdom
9074,Mark Benson,1958-07-06T00:00:00Z,United Kingdom
8478,Anthony Abdy,1856-04-26T00:00:00Z,United Kingdom of Great Britain and Ireland
8414,A. P. Williams,,Australia
6739,Alan Marshal,1883-06-12T00:00:00Z,Australia
8801,Arthur Ashwell,1908-08-02T00:00:00Z,United Kingdom
8801,Arthur Ashwell,1908-08-02T00:00:00Z,United Kingdom of Great Britain and Ireland
6248,Brad Knowles,1981-10-29T00:00:00Z,Australia
12178,Brian Disbury,1929-09-30T00:00:00Z,United Kingdom
10784,Cardigan Connor,1961-03-24T00:00:00Z,United Kingdom
